no change     /home/bsood/miniconda3/condabin/conda
no change     /home/bsood/miniconda3/bin/conda
no change     /home/bsood/miniconda3/bin/conda-env
no change     /home/bsood/miniconda3/bin/activate
no change     /home/bsood/miniconda3/bin/deactivate
no change     /home/bsood/miniconda3/etc/profile.d/conda.sh
no change     /home/bsood/miniconda3/etc/fish/conf.d/conda.fish
no change     /home/bsood/miniconda3/shell/condabin/Conda.psm1
no change     /home/bsood/miniconda3/shell/condabin/conda-hook.ps1
no change     /home/bsood/miniconda3/lib/python3.13/site-packages/xontrib/conda.xsh
no change     /home/bsood/miniconda3/etc/profile.d/conda.csh
no change     /home/bsood/.bashrc
No action taken.
Starting ChartQA Fine-Tuning
Using Projector Weights: /home/bsood/Multimodal-Machine-Learning-Project/outputs/v_large_lr_1_gpu/checkpoint-10465/projector.pt
Sat Mar 28 15:37:21 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.51.03              Driver Version: 575.51.03      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA RTX A6000               On  |   00000000:61:00.0 Off |                  Off |
| 30%   31C    P8             28W /  300W |       1MiB /  49140MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
DatasetDict({
    train: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 28299
    })
    eval: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 1920
    })
    test: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 2500
    })
})
{'image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=422x359 at 0x1489E77B3160>, 'query': 'Is the value of Favorable 38 in 2015?', 'label': ['Yes'], 'human_or_machine': 0, 'prompt': '<image>\nYou are a chart question-answering assistant. Respond with the final answer only, no explanations.\nQuestion: Is the value of Favorable 38 in 2015?\nAnswer:', 'completion': 'Yes'}
Loading Vision: google/siglip2-so400m-patch16-512
Loading LLM: Qwen/Qwen3-4B-Instruct-2507
Loading pre-trained projector weights from: /home/bsood/Multimodal-Machine-Learning-Project/outputs/v_large_lr_1_gpu/checkpoint-10465/projector.pt

==================================================
EXAMPLE PROMPT TO THE MODEL:
<|im_start|>user
<image>
You are a chart question-answering assistant. Respond with the final answer only, no explanations.
Question: Is the value of Favorable 38 in 2015?
Answer:<|im_end|>
<|im_start|>assistant
Yes<|im_end|>


EXAMPLE LABELS (What we calculate loss on):
Raw label IDs (ignoring -100): [9454, 151645, 198]
Decoded target text: 'Yes<|im_end|>
'
==================================================

Starting ChartQA Fine-tuning!
{'loss': 21.3009, 'grad_norm': 67.5, 'learning_rate': 3.3834586466165413e-06, 'epoch': 0.01}
{'loss': 20.1682, 'grad_norm': 56.25, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.02}
{'loss': 18.2942, 'grad_norm': 61.25, 'learning_rate': 1.0902255639097744e-05, 'epoch': 0.03}
{'loss': 13.2556, 'grad_norm': 64.0, 'learning_rate': 1.4661654135338346e-05, 'epoch': 0.05}
{'loss': 7.7487, 'grad_norm': 11.5, 'learning_rate': 1.8421052631578947e-05, 'epoch': 0.06}
{'loss': 6.2175, 'grad_norm': 8.0, 'learning_rate': 2.218045112781955e-05, 'epoch': 0.07}
{'loss': 6.3568, 'grad_norm': 11.0625, 'learning_rate': 2.5939849624060153e-05, 'epoch': 0.08}
{'loss': 5.5013, 'grad_norm': 12.0625, 'learning_rate': 2.9699248120300755e-05, 'epoch': 0.09}
{'loss': 5.3226, 'grad_norm': 12.5, 'learning_rate': 3.3458646616541355e-05, 'epoch': 0.1}
{'loss': 5.2648, 'grad_norm': 15.8125, 'learning_rate': 3.721804511278196e-05, 'epoch': 0.11}
{'loss': 5.0552, 'grad_norm': 15.25, 'learning_rate': 4.097744360902256e-05, 'epoch': 0.12}
{'loss': 5.037, 'grad_norm': 15.0, 'learning_rate': 4.473684210526316e-05, 'epoch': 0.14}
{'loss': 4.9112, 'grad_norm': 17.125, 'learning_rate': 4.849624060150376e-05, 'epoch': 0.15}
{'loss': 4.8894, 'grad_norm': 17.875, 'learning_rate': 4.9999301735323034e-05, 'epoch': 0.16}
{'loss': 4.486, 'grad_norm': 18.0, 'learning_rate': 4.999503470355215e-05, 'epoch': 0.17}
{'loss': 4.548, 'grad_norm': 15.5625, 'learning_rate': 4.998688922613788e-05, 'epoch': 0.18}
{'loss': 4.7942, 'grad_norm': 18.5, 'learning_rate': 4.997486656700289e-05, 'epoch': 0.19}
{'loss': 4.4818, 'grad_norm': 22.5, 'learning_rate': 4.9958968591686896e-05, 'epoch': 0.2}
{'loss': 4.3977, 'grad_norm': 17.25, 'learning_rate': 4.993919776705718e-05, 'epoch': 0.21}
{'loss': 4.121, 'grad_norm': 24.625, 'learning_rate': 4.991555716092579e-05, 'epoch': 0.23}
{'loss': 4.4359, 'grad_norm': 17.875, 'learning_rate': 4.9888050441573526e-05, 'epoch': 0.24}
{'loss': 4.4647, 'grad_norm': 18.75, 'learning_rate': 4.9856681877180735e-05, 'epoch': 0.25}
{'loss': 4.246, 'grad_norm': 19.0, 'learning_rate': 4.9821456335165005e-05, 'epoch': 0.26}
{'loss': 4.1169, 'grad_norm': 17.875, 'learning_rate': 4.978237928142594e-05, 'epoch': 0.27}
{'loss': 4.0874, 'grad_norm': 25.0, 'learning_rate': 4.9739456779496984e-05, 'epoch': 0.28}
{'loss': 3.9905, 'grad_norm': 21.5, 'learning_rate': 4.969269548960456e-05, 'epoch': 0.29}
{'loss': 4.1165, 'grad_norm': 22.875, 'learning_rate': 4.9642102667634604e-05, 'epoch': 0.31}
{'loss': 3.9689, 'grad_norm': 22.125, 'learning_rate': 4.958768616400672e-05, 'epoch': 0.32}
{'loss': 4.0564, 'grad_norm': 24.5, 'learning_rate': 4.9529454422455976e-05, 'epoch': 0.33}
{'loss': 3.8345, 'grad_norm': 20.25, 'learning_rate': 4.946741647872276e-05, 'epoch': 0.34}
{'loss': 3.8333, 'grad_norm': 18.875, 'learning_rate': 4.940158195915067e-05, 'epoch': 0.35}
{'loss': 3.756, 'grad_norm': 15.9375, 'learning_rate': 4.933196107919286e-05, 'epoch': 0.36}
{'loss': 3.4555, 'grad_norm': 21.625, 'learning_rate': 4.925856464182685e-05, 'epoch': 0.37}
{'loss': 3.7685, 'grad_norm': 23.0, 'learning_rate': 4.918140403587832e-05, 'epoch': 0.38}
{'loss': 3.6974, 'grad_norm': 18.125, 'learning_rate': 4.910049123425386e-05, 'epoch': 0.4}
{'loss': 3.8819, 'grad_norm': 22.25, 'learning_rate': 4.901583879208319e-05, 'epoch': 0.41}
{'loss': 3.7283, 'grad_norm': 17.125, 'learning_rate': 4.892745984477099e-05, 'epoch': 0.42}
{'loss': 3.4471, 'grad_norm': 18.0, 'learning_rate': 4.883536810595867e-05, 'epoch': 0.43}
{'loss': 3.5005, 'grad_norm': 22.375, 'learning_rate': 4.873957786539646e-05, 'epoch': 0.44}
{'loss': 3.577, 'grad_norm': 21.375, 'learning_rate': 4.864010398672612e-05, 'epoch': 0.45}
{'loss': 3.7337, 'grad_norm': 16.5, 'learning_rate': 4.8536961905174515e-05, 'epoch': 0.46}
{'loss': 3.784, 'grad_norm': 17.875, 'learning_rate': 4.8430167625158595e-05, 'epoch': 0.47}
{'loss': 3.4532, 'grad_norm': 18.75, 'learning_rate': 4.831973771780197e-05, 'epoch': 0.49}
{'loss': 3.661, 'grad_norm': 22.5, 'learning_rate': 4.820568931836364e-05, 'epoch': 0.5}
{'loss': 3.5084, 'grad_norm': 17.875, 'learning_rate': 4.8088040123579106e-05, 'epoch': 0.51}
{'loss': 3.6028, 'grad_norm': 20.875, 'learning_rate': 4.796680838891438e-05, 'epoch': 0.52}
{'loss': 3.634, 'grad_norm': 15.1875, 'learning_rate': 4.7842012925733374e-05, 'epoch': 0.53}
{'loss': 3.2308, 'grad_norm': 19.5, 'learning_rate': 4.7713673098378875e-05, 'epoch': 0.54}
{'loss': 3.5468, 'grad_norm': 21.5, 'learning_rate': 4.758180882116788e-05, 'epoch': 0.55}
{'loss': 3.2109, 'grad_norm': 18.375, 'learning_rate': 4.744644055530149e-05, 'epoch': 0.57}
{'loss': 3.2894, 'grad_norm': 20.125, 'learning_rate': 4.730758930568997e-05, 'epoch': 0.58}
{'loss': 3.478, 'grad_norm': 16.875, 'learning_rate': 4.716527661769344e-05, 'epoch': 0.59}
{'loss': 3.315, 'grad_norm': 18.5, 'learning_rate': 4.7019524573778734e-05, 'epoch': 0.6}
{'loss': 3.4657, 'grad_norm': 17.5, 'learning_rate': 4.687035579009288e-05, 'epoch': 0.61}
{'loss': 3.0692, 'grad_norm': 24.75, 'learning_rate': 4.671779341295378e-05, 'epoch': 0.62}
{'loss': 3.3957, 'grad_norm': 17.625, 'learning_rate': 4.6561861115258625e-05, 'epoch': 0.63}
{'loss': 3.2125, 'grad_norm': 19.25, 'learning_rate': 4.640258309281062e-05, 'epoch': 0.64}
{'loss': 3.205, 'grad_norm': 16.875, 'learning_rate': 4.623998406056454e-05, 'epoch': 0.66}
{'loss': 3.34, 'grad_norm': 48.75, 'learning_rate': 4.6074089248791733e-05, 'epoch': 0.67}
{'loss': 3.3299, 'grad_norm': 18.0, 'learning_rate': 4.590492439916522e-05, 'epoch': 0.68}
{'loss': 3.3662, 'grad_norm': 19.5, 'learning_rate': 4.573251576076532e-05, 'epoch': 0.69}
{'loss': 3.3091, 'grad_norm': 17.0, 'learning_rate': 4.55568900860067e-05, 'epoch': 0.7}
{'loss': 3.1164, 'grad_norm': 18.375, 'learning_rate': 4.537807462648716e-05, 'epoch': 0.71}
{'loss': 3.0978, 'grad_norm': 18.75, 'learning_rate': 4.5196097128759095e-05, 'epoch': 0.72}
{'loss': 3.1351, 'grad_norm': 18.75, 'learning_rate': 4.5010985830024084e-05, 'epoch': 0.73}
{'loss': 3.2338, 'grad_norm': 20.25, 'learning_rate': 4.4822769453751344e-05, 'epoch': 0.75}
{'loss': 3.3404, 'grad_norm': 14.125, 'learning_rate': 4.4631477205220794e-05, 'epoch': 0.76}
{'loss': 3.1089, 'grad_norm': 20.875, 'learning_rate': 4.443713876699124e-05, 'epoch': 0.77}
{'loss': 3.2515, 'grad_norm': 16.5, 'learning_rate': 4.423978429429463e-05, 'epoch': 0.78}
